,nct_id,description,title,intervention_name,disease,keyword,outcome_measure,criteria,reference,overall_status
18,NCT03567798,"Single blind, randomized, multicentric placebo controlled study to evaluate the efficacy of Study product in patient with Chemotherapy induced thrombocytopenia. The Study is divided into [screening visit (visit 1) > baseline and treatment allocation visit (visit 2) >blood collection (visit 3); treatment compliance visit (visit 4) > blood collection (visit 5) >blood collection (visit 6)>end of study visit (visit 7)].",Thrombocytopenia Induced by Chemotherapy,"UPLAT, Placebo",Thrombocytopenia,none,Increase in the platelet counts from baseline levels to the end of therapy.,"Inclusion Criteria:~Male or female aged between 18-55 years.~Subjects must sign with date an informed consent prior to any evaluation and participation in the trial.~Patients who were confirmed solid tumour and received at least one cycle of chemotherapy prior to screening visit.~Patients with a platelet counts between > 20000 and < 150,000/ml at the time of screening.~Exclusion Criteria:~Planning to receive any type of surgery.~Pregnant or lactating women.~Patients with platelet count less than 20000/ml.~Patients with thrombocytopenia presenting with active bleeding.~Patients who have received blood or blood product transfusion during the current illness or during past one week.~Patients with thrombocytopenia purpura (ITP) leukemia, hemophilia or bleeding diathesis.~Participation in another trial with another investigational product",none,Completed
19,NCT00353808,"The purpose of this study is to assess the long-term safety and tolerability of [S,S]-Reboxetine in patients with chronic pain following shingles. This is the extension study of Protocol A6061026.","A Trial Assessing The Long Term Safety And Tolerability Of [S,S]-Reboxetine In Patients With Post-Shingles Pain.","[S,S]-Reboxetine",Pain,none,"Vital signs, Physical examination, 12-lead ECG, Hematology/Biochemistry, Adverse events, Pain Visual Analogue Scale, Patient Global Impression of Change",Inclusion Criteria:~Patients must have met the patient selection criteria for the preceding double-blind Protocol A6061026 and have completed the 16-week trial.~Patients at screening must have a score of >/=40mm on the pain visual analogue scale.~Exclusion Criteria:~Serious adverse event during the preceding double-blind Protocol A6061026 that was determined to be related to the trial medication by the Investigator.~Patient treatment compliance was less than 80% in the preceding double-blind Protocol A6061026.,none,Terminated
20,NCT03760393,"Societal changes have resulted in reduced demands to be active and increased daily time spent sitting. Sedentary behavior (SB) has been linked to many health problems such as type 2 diabetes and heart disease. University students are a high-risk population for excessive SB. Increasing the length and frequency of breaks from sitting and increasing the time spent standing and engaged in light physical activity are ways to decrease SB. The purpose of this study is to determine whether combining a Health Action Process Approach-based (theory-driven), specifically action and coping planning intervention, with a tailored text messaging intervention can reduce occupational (student) sitting time among university students. Participants in the intervention group will receive one behavioural counselling session, followed by daily, tailored text messages over a 6-week period, with a focus on encouraging them to reduce their sitting time as a student by increasing their frequency and duration of breaks from sitting, as well as time spent standing and engaged in light-intensity physical activity. It is expected that university students who receive the planning intervention and tailored text messages will report greater increases in non-sedentary behaviours (e.g., break frequency, break duration, standing, light physical activity) than those who do not receive the intervention.",A Combined HAPA and mHealth Intervention to Reduce Sedentary Behaviour in University Students,(SB-related planning + daily text messages),"Sedentary Lifestyle, Health Behaviour Change","Health Behaviour Change, Health Action Process Approach, mHealth, Intervention, Non-Sedentary Behaviours, Break Frequency, Break Duration, Action Planning, Coping Planning, Work Performance, Health Outcomes, Sedentary Behaviour","Changes in Frequency of Breaks from Sitting as a Student, Changes in Duration of Breaks from Sitting as a Student, Changes in Time Spent Standing as a Student, Changes in Time Spent Engaged in Light-Intensity Physical Activity (i.e., walking) as a Student, Action Planning towards reducing occupational (student) sitting time, Coping Planning towards reducing occupational (student) sitting time, Action Control towards reducing occupational (student) sitting time, Self-rated Work Performance, Role limitations due to physical health, Role limitations due to emotional health, Emotional well-being, Energy/Fatigue",Inclusion Criteria:~Must be 18+ years of age~Must be a full-time university and/or college student~Must be in self-reported good mental and physical health~Must be able to read and write in English~Must have access to a computer with Internet~Must own a mobile phone with free unlimited incoming text messages.~Exclusion Criteria:~Under 18 years of age~Do not read or write in English~Not a full-time university and/or college student~Do not have access to a computer with Internet~Do not own a mobile phone with free unlimited incoming text messages and/or emails~Pregnant~Medical condition that prohibits individual from being physically active.,none,Completed
21,NCT03760003,"Phase IIb study to evaluate the efficacy and the safety of 3 dose-levels of ABX464, administered daily in patients with moderate to severe Ulcerative Colitis.",Dose-Ranging Phase 2b Study of ABX464 in Moderate to Severe Ulcerative Colitis,"ABX464 25mg, ABX464 50mg, ABX464 100mg, Placebo",Ulcerative Colitis,"ABX464, Refractory patients, Phase 2b, Dose Ranging","Modified Mayo Score, Clinical remission, Clinical response, Endoscopic Improvement, Mucosal healing, Stool and rectal bleeding frequency, Partial Modified Mayo Score, Modified Mayo Score, Fecal calprotectin, C Reactive Protein, miR-124 expression, IBDQ, Inflammatory Infiltrate, IL-6, TNFα, IL-1b, IL-10 plasma concentrations, ABX464 and ABX464-N-Glu, Endoscopy Remission, Number and rate of all adverse events, causally-related adverse events, SAE and causally-related SAEs classified by severity, Incidence of treatment-emergent serious adverse event, Incidence of adverse events leading to investigational medicinal product discontinuation, Number of clinically-significant laboratory abnormalities","Inclusion Criteria:~Men or women age 18 - 75 years;~Diagnosis of moderate to severe active UC (including ulcerative proctitis if proximal extension of disease occurs beyond 10 cm) confirmed by endoscopy and histology at least 12 Weeks prior to screening visit. Moderate to severe active UC defined by Modified Mayo Score (MMS) of 5 to 9 inclusive (on a scale of 0-9). Moderate to severe active UC should be confirmed at screening visit with a centrally read endoscopy sub-score of at least 2 (on a scale of 0-3);~Patients having either a documented inadequate response, no response, a loss of response, or an intolerance (defined as the occurrence of at least one Adverse Reaction leading to treatment discontinuation) to either immunosuppressant treatment (i.e., azathioprine, 6-mercaptopurine, methotrexate), tumor necrosis factor [TNF] inhibitors, vedolizumab, JAK inhibitors and/or corticosteroid treatment. Inadequate response, no response, loss of response is defined as:~i. Active disease or relapse in spite of thiopurines or methotrexate given at an appropriate dose for at least 3 months (i.e. azathioprine 2-2.5 mg/kg/day or mercaptopurine 1-1.5 mg/kg/day in the absence of leukopenia), and/or ii. Active disease despite corticosteroids treatment (prednisolone up to 0.75 mg/kg/day) over a period of 4 Weeks, and/or iii. Active disease or relapse in spite of adequate treatment (as defined in the SmPC) with tumor necrosis factor [TNF] inhibitors or vedolizumab, and/or iv. Active disease or relapse in spite of adequate treatment with JAK inhibitors over a period of at least 6 Weeks.~Patients receiving oral corticosteroids must have been on a stable dose of prednisone or prednisone equivalent (≤20 mg/day) or on beclomethasone diproprionate (≤5mg/day) or on budesonide MMX (≤9 mg/day) for at least 2 Weeks prior to the screening visit;~Topical corticosteroids and topical 5-aminosalicylic acid preparations must have been withdrawn at least 2 Weeks prior to the screening visit;~Patients who are on oral 5-aminosalicylic acid must have been on a stable dose for at least 4 Weeks prior to the screening visit;~Patients who are receiving immunosuppressants in the form of azathioprine, 6-mercaptopurine, or methotrexate needed to be on a stable dose for at least 4 Weeks prior to screening visit. Patients taking methotrexate also are advised to take folic acid 1 mg/day (or equivalent) supplementation if there is no contraindication;~Patients on probiotics (e.g., Culturelle® [Lactobacillus GG, i-Health, Inc.], Saccharomyces boulardii) must be on stable doses for at least 2 Weeks prior to the screening visit;~Patients on antidiarrheals (e.g., loperamide, diphenoxylate with atropine) must be on stable doses for at least 2 Weeks prior to the screening visit;~Patients who have received tumor necrosis factor [TNF] inhibitors, vedolizumab or other biologics must have discontinued therapy at least 8 Weeks prior to the screening visit due to lack or insufficient efficacy or intolerance;~Patients previously treated with cyclosporine, tacrolimus or JAK inhibitors must have discontinued therapy at least 4 Weeks prior to the screening visit due to lack or insufficient efficacy or intolerance;~Patients previously treated with tube feeding, defined formula diets, or parenteral alimentation/nutrition must have discontinued treatment 3 Weeks before the screening visit and must be able to take, orally, appropriate amount of food (calories) and liquids to maintain body weight;~Patients with surveillance colonoscopy defined as per ECCO guidelines;~Patients with the following hematological and biochemical laboratory parameters obtained at screening:~i. Hemoglobin > 9.0 g dL-1; ii. Absolute neutrophil count ≥ 750 mm-3; iii. Platelets ≥ 100,000 mm-3; iv. Total serum creatinine ≤ 1.3 x ULN (upper limit of normal); v. Creatinine clearance > 90 mL min-1 by the Cockcroft-Gault equation within 60 days prior to baseline; vi. Total serum bilirubin < 1.5 x ULN; vii. Alkaline phosphatase, AST (SGOT) and ALT (SGPT) < 2 x ULN;~Patients are able and willing to comply with study visits and procedures as per protocol;~Patients should understand, sign and date the written voluntary informed consent form at the screening visit prior to any protocol-specific procedures are performed;~Patients should be affiliated to a social security regimen (for French sites only);~Females and males receiving the study treatment (potentially in combination with immunosuppressant) and their partners must agree to use a highly effective contraceptive method during the study and for 6 months after end of study or early termination. Contraception should be in place at least 2 Weeks prior to study participation. Women must be surgically sterile or if of childbearing potential must use a highly effective contraceptive method. Women of childbearing potential (WOCBP) will enter the study after confirmed menstrual period and a negative pregnancy test. Highly effective methods of contraception include true abstinence, intrauterine device (IUD) or hormonal contraception aiming at inhibition of ovulation, intrauterine hormone releasing system, bilateral tubal ligation, vasectomized partner. True abstinence is defined when this is in line with the preferred and usual lifestyle of the patient. In each case of delayed menstrual period (over one month between menstruations) confirmation of absence of pregnancy is required. This recommendation also applies to WOCBP with an infrequent or irregular menstrual cycle. Female and male patients must not be planning pregnancy during the trial and for 6 months post completion of their participation in the trial. In addition, male participants should use condoms and not donate sperm as long as contraception is required.~Exclusion Criteria:~Patients with Crohn's Disease (CD) or presence or history of fistula, indeterminate colitis (IC), infectious/ischemic colitis or microscopic colitis (lymphocytic and collagenous colitis);~History of toxic megacolon, abdominal abscess, symptomatic colonic stricture or stoma; history or imminent colectomy, colonic malignancy;~History or current evidence of colonic dysplasia or adenomatous colonic polyps. Patient with severe gastrointestinal complications; e.g., short bowel syndromes, recent or planned bowel surgery, Ileostomy and/or colostomy, recent bowel perforation;~History of more than one episode of herpes zoster or a history (single episode) of disseminated zoster;~Patients with active infections at screening such as infected abdominal abscess, Clostridium difficile (stool antigen and toxin required), CMV (positive IgM), TB and recent infectious hospitalization;~Patients previously treated with ABX464;~Acute, chronic or history of clinically relevant pulmonary, cardiovascular, hepatic, pancreatic or renal functional abnormality, encephalopathy, neuropathy or unstable CNS pathology such as seizure disorder, angina or cardiac arrhythmias, active malignancy or any other clinically significant medical problems as determined by physical examination and/or laboratory screening tests and/or medical history;~Acute, chronic or history of immunodeficiency or autoimmune disease;~History of malignancy excluding patients considered cured (5 years disease free survivors);~Serious illness requiring systemic treatment and/or hospitalization within 3 Weeks prior to baseline;~Pregnant or breast-feeding women;~Illicit drug or alcohol abuse or dependence;~Patients who received live vaccine 30 days or fewer before first dose of study treatment and/or who's planning to receive such a vaccine during the study duration;~Use of any investigational or non-registered product within 3 months or within 5 half-lives preceding baseline, whichever is longer and during the study;~Any condition, which in the opinion of the investigator, could compromise the patient's safety or adherence to the study protocol.",none,Completed
22,NCT03755388,"The goal of this study is to evaluate the efficacy, safety and performance of the Episealer® device in a sample size of 30 patients and on the long term (10 years follow-up).",Clinical Trial of an MRI Based Patient Specific Focal Knee Resurfacing Implant,Episealer,"Cartilage Damage, Knee Injuries",none,"Radiographic measurements, Survival, Knee injury and Osteoarthritis Outcome Score (KOOS), Visual Analogue Scale (VAS) pain, Complications","Inclusion Criteria:~Subjects with a focal cartilage lesion of the distal femur in which biological surgical methods have failed or are not eligible~Minimal age 18 years (Preferred age group >40 years)~Suitable for implant, to be determined by analysis of MRI imaging. Suitability is set by the size and location of the lesion.~Informed consent~Exclusion Criteria:~Under age (<18yrs)~Active or recent (<1 yr) septic arthritis of the involved knee~Associated symptomatic untreated ligamentary or meniscal pathology in the involved knee~(Severe) osteoarthritis in the involved or other compartments of the involved knee~Severe osteoporosis~MRI not possible (eg. due to pacemaker)~Marked valgus- or varus alignment (>6 degrees)",none,Recruiting
23,NCT02282982,"This was a non-interventional, prospective, multi-center study with no control group designed to assess the effectiveness of palivizumab in a population of infants at high-risk of serious Respiratory Syncytial Virus (RSV) illness (infants born ≤ 35 weeks of gestation and infants ≤24 months with Bronchopulmonary Dysplasia (BPD) or Congenital Heart Disease (CHD)). Participants received immunoprophylaxis during the RSV season, defined as October 2014 through April 2015, in routine clinical settings throughout the Russian Federation.",Observational Program to Assess Respiratory Syncytial Virus (RSV) Hospitalization Rate in Population of Children at High-risk of Serious RSV Illness Who Received Palivizumab Immunoprophylaxis,none,Respiratory Syncytial Virus (RSV),"Immunoprophylaxis, Palivizumab","Proportion of Infants Hospitalized for Lower Respiratory Tract Infection (LRTI) With a Positive Respiratory Syncytial Virus (RSV) Diagnostic Test, Proportion of Infants Who Died From a Confirmed Respiratory Syncytial Virus (RSV) Infection, Median Length of Stay (LOS) of Lower Respiratory Tract Infection (LRTI) Hospitalization With a Positive Respiratory Syncytial Virus (RSV) Test, Proportion of Participants With Intensive Care Unit (ICU) Admission Among Hospitalized Participants, Median Length of Stay (LOS) of Participants in the Intensive Care Unit (ICU), Proportion of Participants Who Received Supplemental Oxygen While Hospitalized, Proportion of Participants Who Received Mechanical Ventilation While Hospitalized, Proportion of Participants With Missed Doses of Palivizumab, Proportion of Participants With Co-morbidities During Hospitalizations, Median Duration of Mechanical Ventilation Administration During Hospitalizations, Median Duration of Oxygen Administration During Hospitalizations, Proportion of Participants With a Particular Co-morbidity","Inclusion Criteria:~Planned prescription of palivizumab for immunoprophylaxis during RSV season or participants for whom palivizumab was prescribed and who received the first dose of palivizumab no later than 60 days before enrollment in the study~Infants at high risk of severe RSV infection defined as fulfilling at least one of the following:~Infants born ≤35 weeks gestational age AND are ≤6 months of age at the onset of the RSV season;~Infants ≤24 months of age AND with a diagnosis of BPD (defined as oxygen requirement at a corrected gestational age of 36 weeks);~Infants ≤24 months of age with hemodynamically significant CHD, unoperated or partially corrected.~Written authorization to use individual data signed by parents or child representative~Exclusion Criteria:~Major congenital malformation aside from CHD~Chronic pulmonary disease other than BPD~Acute period of any infection~Contraindication to palivizumab prescription according to local label~Administration of a product possibly containing RSV-neutralizing antibody within 30 days prior to enrollment or current administration (includes, but is not restricted to, the following: RSV hyperimmunoglobulin, polyclonal intravenous immunoglobulin, cytomegalovirus hyperimmunoglobulin, varicella zoster hyperimmunoglobulin)",none,Completed
24,NCT03760380,This study involves the use of a newly designed shoe device for knee arthritis patients that may help reduce knee pain and improve function.,Comparing Pain and Kinematic Outcomes of Two Gait-Modifying Shoe Interventions,"Sole 1 - Neutral, Sole 1 - Offset, Sole 2 - Neutral, Sole 2 - Offset",Arthritis Knee,"osteoarthritis (OA), gait modifying shoe","Change in NRS pain (Pain Numeric Rating Scale) score., Change in WOMAC (Western Ontario and McMaster Universities Arthritis Index) score, Change in SF-36 disability score., Change in Timed Up & Go (TUG) Test score., Change in Stair Climb time score.","Inclusion Criteria:~Chronic, OA-related knee pain~Diagnosis of medial compartment knee OA (unilateral or bilateral)~Moderate pain of ≥4 out of 10 points while performing a weight-bearing activity~Kellgren and Lawrence score of 2, 3, or 4 evidenced on routine, standard-of-care x-ray within the last 2 years prior to enrollment~Able to walk unassisted for at least 10 minutes at a time~Wear a Women's shoe size of 6.5 to 13 or a Men's shoe size of 5 to 12.~Exclusion Criteria:~Patients suffering from acute septic or inflammatory arthritis~Unstable cardiovascular, orthopaedic, or neurological conditions, uncontrolled diabetes, or any condition that would preclude exercise in moderate duration, moderate workload trials~Received a corticosteroid injection or invasive procedures within prior 6 months of the study~History of avascular necrosis in the knee~History of knee buckling~Joint replacement in any lower extremity joint that has not optimally recovered (e.g. still causes significant pain or affects mobility) as determined by the PI.~Experienced more than 3 falls within the last year~Currently using any knee brace on a regular basis for the knee pain, with the exception of basic knee sleeves~Pathological osteoporotic fracture~Severe symptomatic degenerative arthritis in lower limb joints other than the knees~Severe back pain, prior spinal fusion or spinal deformity that would affect gait~Major cardiac or pulmonary conditions and any orthopedic limitation that precludes their ability to independently walk for 10 minutes or longer~Knee flexion contracture greater than 15°~Knee flexion of less than 90°~Any major injury to either knee within the prior 12 months~Currently enrolled in a supervised physical therapy program",none,Withdrawn
25,NCT03760367,"The study investigates the effect of toothbrushing with a toothpaste containing blue covarine compared to a control toothpaste without blue covarine on tooth color. Participants brush their teeth once with either the blue covarine containing toothpaste or a control toothpaste for two minutes. Before and after brushing, tooth color is assessed with a spectrophotometer. Moreover, satisfaction of the participants with their tooth color is assessed using a numeric analogue scale before and after treatment.~The null hypotheses are that neither brushing with the toothpaste containing blue covarine nor brushing with the control toothpaste change a) the tooth color and b) the satisfaction of the participants with their tooth color.",Investigation of the Instant Tooth Whitening Effect of a Silica Toothpaste Containing Blue Covarine,"Blue covarine toothpaste, Control toothpaste",Tooth Whitening,"blue covarine, numeric analogue scale, spectrophotometry, tooth bleaching","3D VITA SYSTEM 3D-MASTER tooth color change, Change of participant satisfaction with the tooth color, Change of blue-yellow color component of the tooth (b* in the CIELAB color space), Change of the green-red color component of the tooth (a* in the CIELAB color space), Change of the tooth lightness value (L* in the CIELAB color space), Participant evaluation of tooth color change","Inclusion Criteria:~Healthy volunteers~Exclusion Criteria:~Dental caries in the upper front teeth~Intrinsic stain of the upper front teeth, including tetracyclin stains, fluorosis, and staining due to pulpitis or pulp necrosis~Dental restorations in the upper front teeth, including fillings, veneers, crowns, and root canal fillings~Dental anomalies of the upper front teeth, including molar incisor hypomineralisation, amelogenesis imperfecta, and dentinogenesis imperfecta",none,Completed
26,NCT03760354,"The management of patients who have ingested a caustic product has changed since 2007. Whereas previously the lesion assessment and surgical indication were based on endoscopic data, the therapeutic algorithm is currently based solely on the results of a CT scan with contrast injection, performed 6 hours after ingestion. This examination makes it possible to reliably assess the viability of the esophageal and gastric walls and thus to indicate digestive resection. The therapeutic consequences of this new treatment are important because, by expanding the indications for conservative treatment after severe ingestion, it brings a significant gain in terms of survival, morbidity and functional outcome. In the absence of emergency digestive resection, however, the functional prognosis is often overshadowed by the formation of esophageal stenosis in the months following ingestion. Patients then require endoscopic dilation treatment. In the event of failure or impossibility of dilation, which defines refractory stenosis, esophageal reconstruction is necessary. In case of sequential pharyngeal stenosis following ingestion, esophageal and pharyngeal reconstruction is indicated as a first-line treatment, since these stenosis do not respond to endoscopic dilations. The expansion of the indications for conservative treatment after severe ingestion using CT scans has led to an increase in the incidence of after-effect stenosis.~We aim to develop a therapeutic approach that will prevent the development of refractory and pharyngeal esophageal stenosis. Indeed, there is currently no strategy that has proven effective in this regard in adults. The value of corticosteroid therapy for the prevention of caustic stenosis has only been evaluated in children and remains controversial.~The main objective is to evaluate the effect of early systemic corticosteroid therapy on the risk of refractory esophageal or pharyngeal stenosis within one year of ingestion of a caustic substance in a population of patients at high risk of stenosis, defined according to tomodensitometric criteria (grade IIb: severe lesions, absence of transparietal necrosis), and for whom there is no indication of urgent digestive resection.",Corticosteroid Treatment in the Acute Phase of Caustic Ingestion Management,"Methylprednisolone, Placebo","Caustic Esophageal Injury, Esophageal Stenosis, Pharyngeal Stenosis","Esophageal Stenosis, Caustic, Pharyngeal Stenosis, Corticosteroid treatment","Tumour Necrosis Factor alpha (TNF alpha), Tissue Growth Factor Beta (TGF beta), Tissue Growth Factor Beta (TGF beta), Tissue Growth Factor Beta (TGF beta), Tissue Growth Factor Beta (TGF beta), Galectin 3, Galectin 3, Galectin 3, Galectin 3, Indication for esophageal or pharyngeal surgical reconstruction, Distance of the stenosis, Delay in the occurrence of refractory stenosis or pharyngeal stenosis, Delay in the occurrence of refractory stenosis or pharyngeal stenosis, Delay in the occurrence of refractory stenosis or pharyngeal stenosis, Delay in the occurrence of refractory stenosis or pharyngeal stenosis, Delay in the occurrence of refractory esophagal stenosis or pharyngeal stenosis, Distance of the stenosis, Distance of the stenosis, Distance of the stenosis, Distance of the stenosis, Number of stenosis, Number of stenosis, Number of stenosis, Number of stenosis, Number of stenosis, Length of stenosis, Length of stenosis, Length of stenosis, Length of stenosis, Length of stenosis, Estimated diameter of stenosis, Estimated diameter of stenosis, Estimated diameter of stenosis, Estimated diameter of stenosis, Estimated diameter of stenosis, Endoluminal inflammation, Endoluminal inflammation, Endoluminal inflammation, Endoluminal inflammation, Endoluminal inflammation, Number of dilation sessions, Number of dilation sessions, Number of dilation sessions, Number of dilation sessions, Number of dilation sessions, Intervals between iterative dilations, Intervals between iterative dilations, Intervals between iterative dilations, Intervals between iterative dilations, Intervals between iterative dilations, Digestive perforations, Digestive perforations, Digestive perforations, Digestive perforations, Digestive perforations, Extent of pharyngeal stenosis, Extent of pharyngeal stenosis, Extent of pharyngeal stenosis, Extent of pharyngeal stenosis, Extent of pharyngeal stenosis, Proportion of unanticipated adverse reactions, Proportion of unanticipated adverse reactions, Proportion of unanticipated adverse reactions, Proportion of unanticipated adverse reactions, Proportion of unanticipated adverse reactions, Proportion of unanticipated adverse reactions, Proportion of unanticipated adverse reactions, Proportion of unanticipated adverse reactions, Proportion of unanticipated adverse reactions, Proportion of adverse reactions related to corticosteroid therapy, C-Reactive Protein (CRP), C-Reactive Protein (CRP), C-Reactive Protein (CRP), C-Reactive Protein (CRP), interleukin-1 (IL1), interleukin-1 (IL1), interleukin-1 (IL1), interleukin-1 (IL1), interleukin-6 (IL-6), interleukin-6 (IL-6), interleukin-6 (IL-6), interleukin-6 (IL-6), Tumour Necrosis Factor alpha (TNF alpha), Tumour Necrosis Factor alpha (TNF alpha), Tumour Necrosis Factor alpha (TNF alpha)","Inclusion Criteria~Age greater than or equal to 18 years~Recent caustic product ingestion (time between taking the product and initiating the evaluated treatment or placebo between 6 and 24 hours after ingestion)~Predictive CT criteria for high-risk esophageal stenosis (grade IIb) in its most pathological part~Written, signed consent (trusted person if necessary, in case of impossibility of collection)~Beneficiary of a social security system~Exclusion Criteria:~Indication of resection or surgical exploration in emergency~History of caustic ingestion~Corticosteroids taken at a dose greater than 20 mg prednisone within 7 days before randomization~Contraindication to corticosteroid therapy:~Any infectious condition that required antibiotic treatment within 7 days of randomization~Any vaccine living within 7 days of randomization~Hypersensitivity to one of the components~Pregnancy in progress~Breastfeeding in progress~Co-intoxication involving vital prognosis and requiring, according to the patient's doctor, intensive care management~Patient under guardianship or curatorship",none,Not yet recruiting
27,NCT03760341,"Background: Adenoidectomy is one of the most common procedures done by the otolaryngologist. The procedure can be performed using the cold method (mainly adenoid curettes) or the hot method (suction diathermy). Both techniques have similar intra and post-operative outcomes. However, the long term clinical outcome in improving the sleep disorder symptoms was never compared between the two methods.~Objective: To compare the advantages using the hot method compared to the cold method adenoidectomy in the long term follow up.~Methods: A prospective, randomized, single blinded study of children undergoing adenoidectomy between the years 2014-2017. Patients were randomized to hot or cold adenoidectomy techniques. The primary outcome was change of the Pediatric Sleep Questionnaire Score (PSQ) scores one month and one year after surgery.",Cold Versus Hot Adenoidectomy for Obstructive Sleep Apnea in Pediatric Patients,"adenoidectomy - cold method, adenoidectomy - hot method","Adenoid; Growth, Obstructive Sleep Apnea",none,"Pediatric Sleep Questionnaire scores, intra-operative complications, post-operative complications",Inclusion Criteria:~age 1 to 15~Children with obstructive sleep apnea~Children whose parents agreed to be enrolled in the research~Exclusion Criteria:~Children who underwent adenoidectomy in the past~Refusal for participation by the parent.~a diagnosis of malignancy~Unable to adhere follow up,none,Completed
28,NCT03760328,"Upper Airway Stimulation is a new therapy, which is available for patients with obstructive sleep apnea, who are non-compliant to the standard treatment continuous positive airway pressure (CPAP) therapy. This study is a prospective, multi-center, double-blinded, randomized crossover study conducted under a common protocol. The study visits include baseline with an in-laboratory polysomnography (PSG) after six months of therapy usage, followed by visits and in-lab PSGs at 1 and 2-weeks where the Therapy stimulation will be changed at each, according to randomization. The objective of this randomized controlled crossover study is to assess treatment effect of Inspire UAS in patients at different time points with two different therapy settings. This study will provide additional clinical evidence of Inspire UAS for treatment of moderate to severe OSA using a randomized controlled crossover trial design.",Effect of Upper Airway Stimulation in Patients With Obstructive Sleep Apnea,Upper Airway Stimulation,Obstructive Sleep Apnea,none,"Change in AHI from Baseline to Visit 1 and Visit 2, Change in ESS from Baseline to Visit 1 and Visit 2, Change in FOSQ from Baseline to Visit 1 and Visit 2, Change in Snoring Intensity from Baseline to Visit 1 and Visit 2, Therapy Adherence, Change in ODI from Baseline to Visit 1 and Visit 2, Change in Clinical Global Impression (CGI-I) from Baseline to Visit 1 and Visit 2",Inclusion Criteria:~Otherwise healthy subjects that are at least 18 years old and:~Have been implanted and using the Inspire Therapy for at least six months~Willing and capable to undergo three in-lab PSGs in a one-month timeframe~Willing and capable of having reduced Inspire stimulation for one week~Willing and capable of providing informed consent~Exclusion Criteria:~Subjects who meet any of the following criteria will be excluded from this clinical investigation:~Unwilling to complete three in-lab PSGs within a 1-month timeframe~Any other reason the investigator deems subject is unfit for participation in the study,none,Completed
29,NCT02719275,"Suicide is the 2nd leading cause of death for teenage youth in Canada, and every year tens of thousands of young people engage in suicidal behaviors. Many young people manifest red-flag behaviors in the digital realm before these incidents occur. The faceless nature of online communication often emboldens youth to reveal details about their mental state: leaving tell-tale signs or bread crumbs of their suicidal intentions or behaviors.~This research will examine the content of adolescents social media entries to find red flags and detect patterns in social media interactions of adolescents that could be predictive of subsequent suicide risk. The study participants will be patients admitted to Child and Adolescent Psychiatry Emergency unit at BCCH, subdivided into two groups: those admitted due to suicidal behaviors, and those admitted for non-suicidal behaviors. The text of social media activity for the month prior to emergency admission of the two groups will be collected, anonymized, and analyzed using text-analytic algorithms. The objective of the study is to find patterns and indicators of social media entries, prior to admission, that would have been predictive of suicidality.~The implications of successful outcome of this project for mental health care of children and adolescents reaches well beyond the scope of this study. An objective method to predict risk of suicidal behaviors in youth has application in almost all pediatric clinical settings. The outcomes of this project will also serve as the foundation for further utilization of social sensing technology to identify, predict, and prevent many other mental health crises in children and adolescents.",Social Media Markers of Adolescents' Suicide Hazard,Social Media Monitoring,Adolescent Suicidality,none,"Algorithm development to predict suicidal crisis., Potential Predictors of crisis.",Inclusion Criteria:~use social media~patient of BCCH~Exclusion Criteria:~no use of social media,none,Unknown status
30,NCT03760302,A sufficient analgesia in injured or sick people is the main goal of physicians treating a patient. In emergency medicine potent analgesia like ketamine or opioids are routinely used. It is unknown if there are any severe side effects or if the use is safe while in use in a Helicopter Emergency Service equipped with emergency physicians.,Analgesia in ÖAMTC Helicopter Emergency Service in Austria,"analgesics, hypnotics","Trauma, Multiple, Pain, Acute, Field Physician Care, Analgesics, Hypnotics, Emergencies, Safety, Accident",none,"Successful analgesia, Analgesic, drug type, Analgesic, frequency, Analgesic, amount of analgesics, Side effects, Frequency of side effects, Severity of side effect","Inclusion Criteria:~Analgesia or use of hypnotics in ÖAMTC Air Ambulance Service in Austria 2000-2016~Exclusion Criteria:~No analgesia, or analgesia use not in connection to ÖAMTC Air Ambulance Service. Analgesia given not in the period of examination (2000-2016)",none,Completed
